iter	RMSE
0	115245.8994
1	114238.0273
2	113238.2024
3	112247.8265
4	111268.9565
5	110298.00316	109084.8142
7	108136.7363
8	107182.7207
9	106251.9603
110	105570.2891111	104644.8211212	103727.9651313	102829.3271414	101932.4921515	101052.1821616	100185.2941717	99314.85121818	98449.42061919	97609.55702020	96758.87502121	95931.81122222	95116.49642323	94298.78662424	93495.77812525	92702.60526	26	91902.7527	927	91115.9828	928	90339.2229	829	89569.2830	830	88819.2831	831	88057.0732	832	87304.133	8633	86550.734	8534	85821.435	8435	85100.036	8436	84379.637	8337	83666.238	8238	82963.139	8239	82260.940	8140	81559.541	8041	80882.42	80042	80210.43	7943	79529.44	7844	78851.045	7845	78199.346	7746	77549.147	7647	76882.248	7648	76228.49	75449	75604.50	74750	74955.51	74151	74332.52	73552	73717.53	72853	73086.10361
54	72470.33863
55	71874.56	71056	71291.57482
57	70680.68467
58	70095.62114
59	69515.79162
60	68945.25163
61	68364.82135
62	67793.74441
63	67218.3589
64	66650.52157
65	66105.77356
66	65554.69411
67	65007.26696
68	64471.42325
69	63940.39323
70	63417.2127
71	62895.67672
72	62384.18927
73	61865.14539
74	61344.81151
75	60832.0261
76	60327.06479
77	59832.40683
78	59343.04373
79	58872.67661
80	58387.21458
81	57901.35875
82	57417.09056
83	56962.72466
84	56494.60453
85	56036.38503
86	55587.11468
87	55140.01003
88	54683.15167
89	54233.43123
90	53797.61039
91	53362.83608
92	52935.68851
93	52499.54356
94	52085.6971
95	51665.61473
96	51244.74272
97	50828.309
98	50420.60601
99	50021.52735
100	49625.98789
101	49220.72451
102	48823.74468
103	48428.64089
104	48037.69605
105	47658.8057
106	47265.80056
107	46882.0518
108	46508.70996
109	46132.07132
110	45772.27076
111	45416.76173
112	45057.30896
113	44703.26429
114	44338.7869
115	43999.10319
116	43658.41809
117	43305.43758
118	42954.71692
119	42615.74252
120	42284.84151
121	41964.26724
122	41649.47843
123	41325.02561
124	41008.67634
125	40692.33639
126	40375.96049
127	40066.01271
128	39757.12957
129	39449.52279
130	39138.27577
131	38844.43071
132	38550.55713
133	38250.16086
134	37948.67705
135	37648.04851
136	37366.30436
137	37084.9636
138	36799.26831
139	36508.37872
140	36232.34277
141	35939.17064
142	35658.23813
143	35389.32699
144	35123.81632
145	34850.37913
146	34588.34821
147	34324.26611
148	34055.24202
149	33791.24486
150	33536.54125
151	33288.20815
152	33029.79898
153	32771.70241
154	32521.04927
155	32276.23117
156	32031.41265
157	31791.51316
158	31545.42343
159	31307.81495
160	31067.75816
161	30832.54968
162	30598.99163
163	30364.20735
164	30132.58393
165	29905.89353
166	29680.41391
167	29459.15858
168	29229.6263
169	29012.80516
170	28798.32095
171	28589.57883
172	28379.71427
173	28159.32384
174	27945.45663
175	27734.04232
176	27531.70842
177	27332.10974
178	27137.72344
179	26934.25734
180	26742.45548
181	26547.23703
182	26348.46583
183	26157.80616
184	25961.92765
185	25767.97863
186	25578.88424
187	25397.99797
188	25215.77141
189	25033.67231
190	24852.60514
191	24672.24271
192	24496.12761
193	24318.38886
194	24138.81692
195	23967.48998
196	23796.98937
197	23625.33535
198	23458.73933
199	23296.93485
200	23131.0779
201	22969.46502
202	22806.67081
203	22651.40169
204	22495.68215
205	22337.35313
206	22174.96217
207	22018.94369
208	21865.08902
209	21717.58901
210	21567.04877
211	21416.14166
212	21270.73558
213	21125.99977
214	20977.60369
215	20833.99732
216	20692.35575
217	20550.20848
218	20409.52528
219	20267.8639
220	20127.07734
221	19992.42267
222	19856.18868
223	19721.75243
224	19592.40545
225	19459.96021
226	19331.13286
227	19198.07322
228	19071.41757
229	18945.15022
230	18823.68637
231	18700.36349
232	18577.30648
233	18458.01605
234	18336.0922
235	18209.78762
236	18091.51647
237	17972.53477
238	17856.52582
239	17741.10827
240	17627.16431
241	17515.05052
242	17400.10473
243	17291.95966
244	17180.65469
245	17072.87443
246	16962.37329
247	16853.90271
248	16744.17064
249	16638.44788
250	16535.68317
251	16433.8163
252	16331.6468
253	16226.1284
254	16128.91342
255	16027.25555
256	15928.21102
257	15832.17143
258	15733.4784
259	15637.40591
260	15543.58928
261	15448.99343
262	15353.35466
263	15263.53349
264	15171.82821
265	15085.5845
266	14995.4679
267	14906.41249
268	14818.53408
269	14731.56996
270	14647.96499
271	14560.55388
272	14478.86076
273	14392.42649
274	14310.859
275	14228.97383
276	14143.19207
277	14063.94076
278	13980.12037
279	13900.79944
280	13820.16516
281	13741.39626
282	13664.38358
283	13589.21722
284	13515.3
285	13440.1958
286	13365.96375
287	13292.13229
288	13219.22266
289	13146.82958
290	13074.91176
291	13003.32476
292	12931.549
293	12862.35418
294	12792.33261
295	12721.75896
296	12654.60252
297	12588.22307
298	12523.88573
299	12458.2341
300	12391.34751
301	12328.93312
302	12267.54281
303	12203.11527
304	12140.69042
305	12079.30086
306	12017.48216
307	11957.46657
308	11895.73054
309	11835.74283
310	11776.40858
311	11719.44718
312	11660.09582
313	11602.19419
314	11543.83097
315	11490.29406
316	11434.53105
317	11378.14816
318	11320.91383
319	11267.31654
320	11213.33937
321	11160.77602
322	11106.89071
323	11054.74528
324	11002.47394
325	10950.61882
326	10899.6971
327	10849.01643
328	10798.92862
329	10748.24763
330	10699.71387
331	10650.2016
332	10601.741
333	10553.58326
334	10507.04891
335	10460.13842
336	10413.60829
337	10368.58227
338	10324.90488
339	10278.84384
340	10234.15799
341	10188.79861
342	10145.22099
343	10100.41159
344	10055.55518
345	10012.99689
346	9971.075984
347	9929.338436
348	9887.64553
349	9845.840667
350	9803.755838
351	9763.433805
352	9723.161059
353	9682.984066
354	9641.860396
355	9603.225491
356	9565.747613
357	9526.418229
358	9486.948835
359	9447.400752
360	9408.441911
361	9372.856991
362	9334.871763
363	9299.641366
364	9264.256369
365	9229.177559
366	9193.774535
367	9155.950737
368	9122.51204
369	9088.645708
370	9054.52478
371	9019.558149
372	8985.158043
373	8950.995987
374	8918.390356
375	8885.391254
376	8850.883008
377	8818.868565
378	8785.972579
379	8754.506155
380	8721.370918
381	8690.027415
382	8658.11836
383	8627.205018
384	8597.134073
385	8566.174894
386	8535.998487
387	8506.365029
388	8477.770746
389	8447.376297
390	8418.421579
391	8388.356893
392	8359.375569
393	8331.365487
394	8304.027207
395	8275.822568
396	8247.720695
397	8220.199056
398	8192.350089
399	8165.659001
400	8138.926985
401	8112.944186
402	8087.746961
403	8061.535474
404	8036.622641
405	8011.869573
406	7988.692886
407	7962.886562
408	7938.265984
409	7912.328076
410	7888.346043
411	7864.103713
412	7841.043013
413	7817.098693
414	7795.833638
415	7770.841677
416	7748.397025
417	7725.101639
418	7698.247047
419	7676.19681
420	7654.217202
421	7626.761917
422	7604.385199
423	7582.974979
424	7562.068562
425	7539.792421
426	7518.700888
427	7491.756005
428	7471.722123
429	7451.568361
430	7430.00403
431	7410.177321
432	7388.21325
433	7365.013871
434	7346.23107
435	7326.742939
436	7304.144339
437	7283.665003
438	7265.770664
439	7248.103444
440	7231.009505
441	7212.047815
442	7194.617636
443	7176.90561
444	7158.042474
445	7140.033841
446	7122.89412
447	7105.773033
448	7084.474047
449	7066.381593
450	7043.11279
451	7027.53675
452	7011.451778
453	6992.042774
454	6975.780768
455	6954.796197
456	6938.966158
457	6922.756089
458	6906.725696
459	6890.416011
460	6869.636954
461	6851.455509
462	6831.136368
463	6815.011931
464	6795.615355
465	6777.214216
466	6760.752401
467	6744.976301
468	6729.898881
469	6715.345124
470	6700.438511
471	6678.905988
472	6664.942844
473	6648.116766
474	6634.615505
475	6621.243863
476	6607.610814
477	6590.111325
478	6575.71683
479	6561.883755
480	6542.7582
481	6528.695062
482	6514.918796
483	6502.169512
484	6489.909581
485	6468.801751
486	6456.644245
487	6439.343468
488	6426.073438
489	6413.217495
490	6399.070241
491	6385.893876
492	6368.985562
493	6356.076594
494	6343.971356
495	6331.227648
496	6318.466226
497	6305.832377
498	6293.872453
499	6280.484329
500	6265.087641
501	6252.481859
502	6235.553091
503	6222.034506
504	6210.096696
505	6198.588439
506	6182.4135
507	6166.125817
508	6153.119239
509	6141.682292
510	6128.012562
511	6112.956573
512	6102.232542
513	6087.822928
514	6077.59285
515	6063.347835
516	6050.591658
517	6040.498814
518	6026.169563
519	6012.813602
520	5999.94377
521	5980.308319
522	5965.743276
523	5955.077107
524	5945.036376
525	5930.142019
526	5916.937983
527	5901.635467
528	5890.550557
529	5880.923573
530	5866.00985
531	5856.672312
532	5843.203709
533	5831.343578
534	5821.93615
535	5808.033674
536	5795.055347
537	5785.083641
538	5774.851393
539	5765.546033
540	5753.43821
541	5744.386939
542	5735.10682
543	5720.657095
544	5712.018211
545	5703.496269
546	5690.506751
547	5678.469566
548	5666.002745
549	5654.669914
550	5642.999743
551	5634.554227
552	5622.720851
553	5608.979924
554	5600.001027
555	5591.775922
556	5580.187396
557	5570.094348
558	5560.95308
559	5552.786176
560	5544.80247
561	5536.449939
562	5528.580164
563	5517.406754
564	5509.425899
565	5500.571801
566	5490.894085
567	5483.69962
568	5473.878577
569	5464.347103
570	5456.897522
571	5446.16853
572	5436.386189
573	5424.854975
574	5416.048492
575	5407.970651
576	5395.443611
577	5384.459629
578	5372.713922
579	5366.646831
580	5356.282107
581	5346.203183
582	5336.316763
583	5329.166563
584	5318.840999
585	5309.725965
586	5302.746188
587	5294.074871
588	5287.187923
589	5279.877581
590	5273.197392
591	5262.038114
592	5253.62069
593	5245.976307
594	5238.640072
595	5231.838212
596	5221.859871
597	5214.871237
598	5206.771522
599	5200.458372
600	5193.048731
601	5183.351754
602	5173.897768
603	5165.434609
604	5157.89162
605	5146.638946
606	5135.874611
607	5127.661547
608	5117.415722
609	5111.186728
610	5100.629732
611	5091.324656
612	5076.688348
613	5067.632424
614	5058.210455
615	5051.900307
616	5042.740373
617	5030.52464
618	5023.150543
619	5014.23747
620	5005.698049
621	4996.558561
622	4990.633612
623	4982.807319
624	4975.137664
625	4965.915624
626	4960.646363
627	4951.831161
628	4942.503638
629	4935.479323
630	4923.431085
631	4917.789647
632	4910.186511
633	4902.342681
634	4895.458903
635	4883.614629
636	4877.498365
637	4871.26203
638	4863.604004
639	4857.894911
640	4853.29754
641	4848.250736
642	4842.380405
643	4836.969761
644	4829.920326
645	4822.677044
646	4815.994401
647	4806.748474
648	4801.678018
649	4796.312594
650	4788.357876
651	4777.460489
652	4772.338987
653	4760.737433
654	4754.211011
655	4746.10591
656	4734.826423
657	4729.263273
658	4724.769222
659	4718.956033
660	4714.033894
661	4706.038568
662	4699.319347
663	4690.810299
664	4684.839083
665	4678.911018
666	4673.862797
667	4669.227878
668	4663.399306
669	4655.840129
670	4643.85843
671	4637.743042
672	4632.475547
673	4623.968675
674	4618.72357
675	4607.634289
676	4602.16676
677	4594.034469
678	4588.378878
679	4580.601682
680	4576.020994
681	4568.891404
682	4560.362903
683	4552.64692
684	4541.685936
685	4534.530489
686	4527.117011
687	4521.72804
688	4511.328703
689	4505.557091
690	4499.227402
691	4489.80931
692	4485.352655
693	4480.044593
694	4474.301622
695	4467.297896
696	4458.376735
697	4453.658832
698	4448.903434
699	4445.456675
700	4441.282255
701	4435.287653
702	4430.505489
703	4422.71679
704	4418.271519
705	4411.608027
706	4403.451559
707	4394.451459
708	4386.535613
709	4382.793201
710	4374.879311
711	4372.153215
712	4362.977566
713	4359.093491
714	4353.923265
715	4347.463378
716	4342.462602
717	4339.081284
718	4332.905964
719	4327.574233
720	4321.687928
721	4317.614901
722	4314.687933
723	4310.21942
724	4302.949765
725	4297.55492
726	4293.403362
727	4290.158299
728	4286.082517
729	4276.154394
730	4269.209159
731	4265.515983
732	4258.312688
733	4255.017609
734	4250.164432
735	4241.16891
736	4235.821694
737	4228.651953
738	4220.558596
739	4215.52579
740	4211.708334
741	4204.263105
742	4198.144183
743	4192.430493
744	4186.678958
745	4177.202822
746	4171.50451
747	4166.88308
748	4161.29874
749	4156.039202
750	4151.657082
751	4143.322462
752	4138.407329
753	4133.163298
754	4128.605798
755	4124.588126
756	4120.703421
757	4114.012375
758	4108.079324
759	4099.83887
760	4096.128429
761	4092.29859
762	4089.886838
763	4085.123847
764	4079.628385
765	4074.349176
766	4070.026613
767	4063.317498
768	4059.321089
769	4054.630749
770	4047.223185
771	4041.133707
772	4035.192186
773	4031.795132
774	4028.591992
775	4024.736011
776	4020.605088
777	4014.240064
778	4010.545331
779	4008.386061
780	4005.942121
781	4001.886664
782	3994.881533
783	3988.316116
784	3981.70528
785	3974.636372
786	3967.441746
787	3962.72614
788	3959.241616
789	3954.878413
790	3948.818533
791	3945.42879
792	3941.921964
793	3937.252282
794	3933.397564
795	3928.132139
796	3922.042499
797	3915.635207
798	3909.696689
799	3906.046517
800	3901.866122
801	3899.632368
802	3896.44461
803	3894.486918
804	3891.084066
805	3884.385699
806	3879.902989
807	3876.158821
808	3870.996296
809	3864.964817
810	3860.550333
811	3858.549741
812	3855.282116
813	3851.383665
814	3846.746716
815	3840.830956
816	3836.754498
817	3834.573366
818	3830.656729
819	3827.1481
820	3823.616844
821	3820.381209
822	3817.071306
823	3814.042527
824	3810.826428
825	3807.508289
826	3803.750668
827	3798.864595
828	3795.884201
829	3791.271788
830	3785.447955
831	3782.71989
832	3778.591367
833	3776.570305
834	3773.655865
835	3768.243963
836	3765.370273
837	3762.196218
838	3757.400965
839	3753.719055
840	3748.277508
841	3742.490233
842	3739.241218
843	3735.276226
844	3731.293723
845	3728.151621
846	3725.303162
847	3722.320518
848	3719.277402
849	3715.068764
850	3711.652796
851	3708.026407
852	3704.455482
853	3699.478438
854	3695.463397
855	3692.073574
856	3687.459815
857	3681.983378
858	3678.587082
859	3673.043138
860	3669.435995
861	3666.651847
862	3663.800349
863	3659.896514
864	3656.993783
865	3655.367955
866	3650.621625
867	3647.505126
868	3643.265749
869	3639.284847
870	3634.744809
871	3631.767333
872	3628.728282
873	3626.219508
874	3624.461765
875	3619.983916
876	3617.141747
877	3612.404134
878	3611.045834
879	3608.25652
880	3603.551527
881	3601.282607
882	3598.578945
883	3595.804913
884	3591.484198
885	3588.655743
886	3584.721686
887	3582.094503
888	3579.954368
