iter	Passed	Remaining
0	147	146854
1	152	76226
2	158	52642
3	164	40987
4	170	33892
5	176	29208
6	174	24805
7	180	22369
8	186	20502
9	191	18957
10	204	18348
11	209	17271
12	215	16340
13	221	15603
14	227	14919
15	232	14310
16	237	13759
17	243	13283
18	248	12838
19	254	12489
20	260	12155
21	266	11826
22	271	11537
23	277	11271
24	282	11020
25	288	10792
26	294	10598
27	299	10401228	305	10212929	310	10030	30	316	9831	31	321	9732	32	327	9533	33	332	9434	34	337	9335	35	342	9136	36	347	9037	37	353	8938	38	358	8839	39	363	8740	40	369	8641	41	374	8542	42	380	8443	43	385	8344	44	390	8245	45	397	8246	46	402	8147	47	407	8048	48	413	8049	49	418	7950	50	424	7851	51	429	7852	52	434	7753	53	440	7718
54	446	7675
55	452	7656	56	458	7577
57	463	7531
58	469	7495
59	475	7454
60	481	7407
61	486	7364
62	492	7329
63	497	7280
64	502	7227
65	508	7193
66	513	7154
67	519	7118
68	525	7086
69	530	7049
70	536	7018
71	542	6990
72	547	6948
73	552	6915
74	558	6888
75	563	6852
76	569	6820
77	574	6792
78	579	6761
79	585	6735
80	591	6708
81	596	6678
82	602	6652
83	607	6628
84	613	6603
85	618	6576
86	624	6550
87	629	6528
88	635	6503
89	640	6476
90	646	6455
91	652	6435
92	657	6412
93	662	6387
94	668	6364
95	673	6340
96	678	6318
97	685	6306
98	691	6289
99	696	6267
100	701	6247
101	707	6227
102	712	6207
103	718	6186
104	723	6168
105	729	6154
106	735	6140
107	741	6124
108	746	6103
109	752	6085
110	757	6064
111	762	6047
112	767	6026
113	774	6015
114	779	5998
115	785	5982
116	791	5970
117	796	5951
118	801	5937
119	807	5921
120	812	5903
121	817	5884
122	823	5871
123	829	5856
124	834	5843
125	840	5827
126	845	5813
127	851	5799
128	857	5787
129	862	5770
130	868	5758
131	874	5748
132	879	5734
133	884	5719
134	889	5701
135	896	5692
136	901	5679
137	907	5667
138	913	5656
139	919	5648
140	924	5634
141	930	5622
142	936	5609
143	941	5598
144	946	5582
145	952	5568
